order_id,order_date,customer_id,customer_name,gender,age,loyalty_tier,customer_city,customer_state,store_id,channel,payment_method,product_id,product_name,category,sub_category,brand,unit_price,quantity,discount_pct,discount_amount,tax_amount,total_amount,cost,profit,order_status,rating
ORD-1000000,2023-01-01,C105184,Daniel Cooper,Male,58,Silver,Miami,FL,S012,In-Store,Credit Card,P1032,Summit Smart Camera,Electronics,Cameras,Summit,900.88,1,0.23,207.2,48.56,742.24,710.36,-16.68,Completed,5.0
ORD-1000001,2023-01-01,C102840,Ali Williams,Male,28,None,New York,NY,ONLINE,Online,Credit Card,P1112,Aurora Ultra Snack Pack,Grocery,Snacks,Aurora,8.29,7,0.0,0.0,2.9,60.93,42.24,15.79,Completed,
ORD-1000002,2023-01-01,C109796,Elena Foster,Female,26,Silver,Atlanta,GA,S001,In-Store,Debit Card,P1047,Orbit Essential Jeans,Clothing,Jeans,Orbit,47.11,3,0.03,4.24,6.85,143.94,78.75,58.34,Completed,3.0
ORD-1000003,2023-01-01,C100063,Yuki Miller,Female,28,None,Chicago,IL,ONLINE,Mobile App,Debit Card,P1016,Lumina Deluxe Headphones,Electronics,Headphones,Lumina,163.97,4,0.0,0.0,52.47,708.35,312.8,343.08,Completed,
ORD-1000004,2023-01-01,C108394,Kenji Lopez,Male,52,Platinum,Chicago,IL,S003,In-Store,Cash,P1029,Apex Pro Smart Watch,Electronics,Smart Watches,Apex,175.95,2,0.13,45.75,24.49,330.64,244.05,62.1,Completed,5.0
ORD-1000004,2023-01-01,C108394,Kenji Lopez,Male,52,Platinum,Chicago,IL,S003,In-Store,Cash,P1175,Zenith Pro Fitness Gear,Sports & Outdoors,Fitness,Zenith,86.49,1,0.38,32.87,4.29,57.91,45.07,8.55,Completed,
ORD-1000005,2023-01-01,C110457,Oliver Singh,Male,37,Platinum,Dallas,TX,ONLINE,Online,Digital Wallet,P1041,Terra Max T-Shirt,Clothing,T-Shirts,Terra,16.0,2,0.18,5.76,1.31,27.55,22.38,3.86,Completed,5.0
ORD-1000005,2023-01-01,C110457,Oliver Singh,Male,37,Platinum,Dallas,TX,ONLINE,Online,Digital Wallet,P1130,Orbit Max Bakery Item,Grocery,Bakery,Orbit,2.42,8,0.08,1.55,0.89,18.7,10.39,7.42,Completed,
ORD-1000005,2023-01-01,C110457,Oliver Singh,Male,37,Platinum,Dallas,TX,ONLINE,Online,Digital Wallet,P1128,Kite Pro Bakery Item,Grocery,Bakery,Kite,7.2,7,0.08,4.03,3.83,50.2,37.2,9.17,Completed,
ORD-1000006,2023-01-01,C104546,Wei Ahmed,Male,71,None,Houston,TX,S034,In-Store,Credit Card,P1096,Apex Pro Furniture Piece,Home & Kitchen,Furniture,Apex,92.52,2,0.15,27.76,7.86,165.14,128.62,28.66,Completed,
ORD-1000006,2023-01-01,C104546,Wei Ahmed,Male,71,None,Houston,TX,S034,In-Store,Credit Card,P1241,Summit Essential Office Pack,Books & Stationery,Office Supplies,Summit,13.25,2,0.3,7.95,0.93,19.48,12.3,6.25,Completed,5.0
ORD-1000006,2023-01-01,C104546,Wei Ahmed,Male,71,None,Houston,TX,S034,In-Store,Credit Card,P1209,Apex Deluxe Action Figure,Toys & Games,Action Figures,Apex,10.04,2,0.0,0.0,1.61,21.69,14.86,5.22,Completed,5.0
ORD-1000006,2023-01-01,C104546,Wei Ahmed,Male,71,None,Houston,TX,S034,In-Store,Credit Card,P1195,Nova Pro Sports Kit,Sports & Outdoors,Team Sports,Nova,47.18,3,0.15,21.23,8.42,128.73,89.85,30.46,Cancelled,
ORD-1000006,2023-01-01,C104546,Wei Ahmed,Male,71,None,Houston,TX,S034,In-Store,Credit Card,P1068,Zenith Deluxe Activewear Set,Clothing,Activewear,Zenith,15.21,1,0.05,0.76,1.19,15.64,8.72,5.73,Completed,
ORD-1000007,2023-01-01,C102445,Omar Kim,Other,34,None,Portland,OR,S015,In-Store,Cash,P1091,Nova Eco Furniture Piece,Home & Kitchen,Furniture,Nova,576.57,2,0.0,0.0,95.13,1248.27,810.86,342.28,Completed,
